"Component Count:","58"
"Ref","Qnty","Value","Footprint","Supplier 1","Supplier 1 PN","Supplier 1 Price","Supplier 2","Supplier 2 PN","Supplier 2 Price","Supplier 3","Supplier 3 PN","Supplier 3 Price"
"C1, C2, ","2","4.7uF","Capacitor_SMD:C_0603_1608Metric","LCSC","C19666","£0.014611","","","","","",""
"C3, C4, C5, C6, C7, C8, C11, C12, C13, C14, C15, C16, C17, C18, ","14","100nF","Capacitor_SMD:C_0402_1005Metric","LCSC","C1525","£0.003408","","","","","",""
"C9, C10, ","2","12pF","Capacitor_SMD:C_0402_1005Metric","LCSC","C26406","£0.004686","","","","","",""
"C19, C20, C21, C22, ","4","47uF","Capacitor_SMD:C_1206_3216Metric","LCSC","C403725","£0.348134","","","","","",""
"CRD1, CRD2, CRD3, CRD4, ","4","AFE_Card_Interface","ProjectLib:PCIE-036-02-X-D-TH","Toby","PCIE-036-02-F-D-TH","£0.79","Mouser","200-PCIE03602FDTH","£1.51","Farnell","1753906","£1.51"
"D1, D2, D3, D4, ","4","LED_RBAG","LED_SMD:LED_Cree-PLCC4_2x2mm_CW","LCSC","C108793","£0.020807","","","","","",""
"J1, ","1","Raspberry_Pi_2_3","ProjectLib:RASPBERRY_PI_B+","","","","","","","","",""
"J2, ","1","SWD","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","Toby","THS-05-R","£0.05","","","","","",""
"JP1, ","1","Reset","Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm","","","","","","","","",""
"JP2, ","1","Boot","Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm","","","","","","","","",""
"PS1, PS2, PS3, PS4, ","4","SFTN02L-12","ProjectLib:SFTN02","Mouser","709-SFTN02L-12","£3.62","DigiKey","1866-SFTN02L-12-ND","£3.81","","",""
"R1, R2, ","2","10K","ProjectLib:R_0402_SILK_VAL","LCSC","C140214","£0.000569","","","","","",""
"R3, R4, R5, R6, ","4","91R","ProjectLib:R_0402_SILK_VAL","LCSC","C270574","£0.000394","","","","","",""
"R7, R8, R9, R10, ","4","62R","ProjectLib:R_0402_SILK_VAL","LCSC","C4962","£0.000372","","","","","",""
"R11, R12, R13, R14, ","4","100R","ProjectLib:R_0402_SILK_VAL","LCSC","C100194","£0.001084","","","","","",""
"U1, U2, U3, U4, ","4","ADUM3154","ProjectLib:SOP65P780X200-20N","Mouser","584-ADUM3154ARSZ","£4.22","DigiKey","ADUM3154ARSZ-RL7TR-ND","£2.6784","Farnell","2451486","£4.76"
"U5, ","1","STM32F411VETx","Package_QFP:LQFP-100_14x14mm_P0.5mm","LCSC","C382005","£3.1517","Mouser","511-STM32F411VET6","£6.30","DigiKey","497-17444-ND","£5.02"
"Y1, ","1","8MHz","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","LCSC","C389817","£0.137827","Mouser","815-M8AIG-8-1ZT","£0.565","DigiKey","2151-RH100-8.000-10-1010-EXT-TRCT-ND","£0.53"
